"S(2,0)AngScMom","S(2,0)Contrast","S(2,0)Correlat","S(2,0)SumOfSqs","S(2,0)InvDfMom","S(2,0)SumAverg","S(2,0)SumVarnc","S(2,0)SumEntrp","S(2,0)Entropy","S(2,0)DifVarnc","S(2,0)DifEntrp","S(0,2)AngScMom","S(0,2)Contrast","S(0,2)Correlat","S(0,2)SumOfSqs","S(0,2)InvDfMom","S(0,2)SumAverg","S(0,2)SumVarnc","S(0,2)SumEntrp","S(0,2)Entropy","S(0,2)DifVarnc","S(0,2)DifEntrp","S(2,2)AngScMom","S(2,2)Contrast","S(2,2)Correlat","S(2,2)SumOfSqs","S(2,2)InvDfMom","S(2,2)SumAverg","S(2,2)SumVarnc","S(2,2)SumEntrp","S(2,2)Entropy","S(2,2)DifVarnc","S(2,2)DifEntrp","S(2,-2)AngScMom","S(2,-2)Contrast","S(2,-2)Correlat","S(2,-2)SumOfSqs","S(2,-2)InvDfMom","S(2,-2)SumAverg","S(2,-2)SumVarnc","S(2,-2)SumEntrp","S(2,-2)Entropy","S(2,-2)DifVarnc","S(2,-2)DifEntrp","Label"
"0.56430842","3.8777958","0.94844866","37.611008","0.84906886","7.7441995","146.56624","0.6490359","0.83274651","3.434042","0.38984876","0.57993191","2.5528961","0.96532493","36.811693","0.86935709","7.5848721","144.69387","0.62685504","0.78558636","2.3103429","0.34499437","0.570122","6.7882426","0.90400927","35.358843","0.82539479","7.3600447","134.64713","0.64093894","0.84447826","5.9187961","0.44238991","0.57590925","5.3608855","0.92378668","35.170267","0.82948671","7.3579877","135.32018","0.63248327","0.83102892","4.6690908","0.42826233","1"
"0.56900718","0.97968957","0.83558051","2.9792379","0.87011523","3.4981247","10.937262","0.52356707","0.6603714","0.84767553","0.32251911","0.57642309","0.55560502","0.9098032","3.0799598","0.89579636","3.5473045","11.764234","0.51967577","0.62844256","0.48837669","0.27025128","0.55950708","1.2540777","0.78787385","2.9559714","0.85444794","3.4875663","10.569808","0.53087172","0.67986695","1.07129","0.3515369","0.56084259","1.3070332","0.77742716","2.936192","0.85246383","3.4774382","10.437735","0.52904962","0.67928805","1.1156093","0.35573884","1"
"0.58138205","0.96690698","0.95180261","10.030699","0.88890742","4.9093488","39.155887","0.56595535","0.69135583","0.86598557","0.29270593","0.58391678","0.70028608","0.96559671","10.177602","0.89764889","4.9448272","40.010122","0.56415826","0.67635147","0.62710395","0.27114369","0.57813542","1.3793277","0.92977918","9.8213587","0.86876489","4.8501407","37.906107","0.56856576","0.71296251","1.2164002","0.33256067","0.57791486","1.4612363","0.92533362","9.7851021","0.86411884","4.8397729","37.679172","0.56871659","0.7159786","1.2836724","0.34040569","1"
"0.62321081","1.2453413","0.92753625","8.5928577","0.90023603","4.5675582","33.12609","0.51145077","0.63292804","1.1418186","0.27685761","0.62160735","0.73119039","0.95905561","8.9290668","0.91322229","4.6523019","34.985077","0.51542782","0.6144033","0.67361201","0.24346915","0.6214928","1.6842306","0.90034311","8.4501461","0.88525727","4.5201599","32.116354","0.51257513","0.64832986","1.528129","0.30905089","0.62321649","1.6848339","0.90027118","8.447076","0.88503183","4.5186429","32.10347","0.51032143","0.64707796","1.528722","0.30907264","1"
"0.58145223","1.2516841","0.89834571","6.1565729","0.88666056","4.1951319","23.374607","0.55210047","0.68349297","1.1308339","0.30081174","0.57837545","0.80596018","0.93600861","6.297411","0.89199926","4.2442744","24.383684","0.55729169","0.67761402","0.72010353","0.28327713","0.57150213","1.746734","0.85694781","6.1052335","0.86449778","4.181304","22.6742","0.56147658","0.7158857","1.5475034","0.34498341","0.57152905","1.7505084","0.85633179","6.0921909","0.85941306","4.1786125","22.618255","0.5612448","0.71840395","1.5403365","0.35214953","1"
"0.0060527143","14.853912","0.89300683","69.415236","0.4237059","48.267737","262.80703","1.7252574","2.4586065","9.105462","0.86839993","0.00751738","8.89282","0.93540973","68.840242","0.46552166","47.623656","266.46815","1.717699","2.3643186","5.3532535","0.77989913","0.0047107886","20.527552","0.8531225","69.879837","0.35743119","48.708957","258.99179","1.730401","2.5463603","11.723032","0.95206129","0.0045464474","21.969893","0.84285343","69.902555","0.33863677","48.76029","257.64033","1.7240144","2.5604475","12.277966","0.97075828","0"
"0.77660835","0.74104356","0.89139181","3.4115455","0.93457841","3.1380825","12.905138","0.30890728","0.37307697","0.6946598","0.19269117","0.79225988","0.13830696","0.98020171","3.4929022","0.9706638","3.1689867","13.833302","0.28913154","0.31971751","0.13344917","0.10464048","0.7737066","0.88564375","0.86885062","3.3764695","0.92794364","3.1296986","12.620234","0.31223485","0.38025438","0.8257401","0.2081386","0.77679567","0.72122698","0.8939081","3.3990672","0.93263066","3.1370462","12.875042","0.30866415","0.37365255","0.67446125","0.19746608","1"
"0.021356742","20.08912","0.89208373","93.077345","0.53808773","41.994213","352.22026","1.6127149","2.149613","14.119469","0.84799902","0.02778642","4.74868","0.97359469","89.919034","0.65525315","40.835269","354.92746","1.5804952","1.9589376","3.6134539","0.58338937","0.016616141","27","0.85784729","94.968294","0.46258845","42.547231","352.87318","1.6264913","2.2180035","17.941273","0.92467645","0.017597122","19.510413","0.89513719","93.028271","0.47614353","42.260118","352.60267","1.6205969","2.2048168","12.768789","0.88802083","0"
"0.77120303","1.8324136","0.86567561","6.8208524","0.9222448","3.4951857","25.450996","0.33666147","0.42891487","1.7163146","0.22815416","0.77121186","0.41844319","0.97219015","7.5232906","0.95501562","3.6229896","29.674719","0.33861198","0.39342058","0.40134364","0.14910778","0.76887219","2.3121197","0.82635478","6.6575971","0.91427836","3.4624012","24.318268","0.3389462","0.43541234","2.1509828","0.24572372","0.76995888","1.8685189","0.86153262","6.7471448","0.9181338","3.4852286","25.12006","0.33795575","0.43200823","1.743863","0.23741143","1"
"0.02587677","24.723492","0.88592585","108.36588","0.52857629","50.461629","408.74003","1.5624001","2.1194665","18.512972","0.82518604","0.037760105","5.1645145","0.97443462","101.00604","0.64516506","49.266271","398.85963","1.5277167","1.9114561","3.9523544","0.59241894","0.023575202","33.272979","0.85073563","111.45653","0.4776065","50.62865","412.55315","1.5628386","2.1657523","24.361295","0.8915669","0.024215817","22.401894","0.89765808","109.44633","0.48677358","50.53507","415.38343","1.5637097","2.1535054","16.094795","0.85265004","0"
